City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,hermanus,-34.4187,19.2345,18.4,88,8,1.91,ZA,1709350485
162,minas de marcona,-15.2119,-75.1103,19.35,79,100,2.0,PE,1709350672
163,invercargill,-46.4,168.35,17.79,84,91,5.81,NZ,1709350672
164,acapetahua,15.2833,-92.7,24.19,78,7,1.41,MX,1709350672
165,khenchela,35.4358,7.1433,3.46,73,49,2.05,DZ,1709350672
166,brookings,44.3114,-96.7984,8.43,58,0,3.6,US,1709350553
167,keflavik,64.0049,-22.5624,-3.76,74,20,6.17,IS,1709350487
168,bandar,2.05,99.75,29.71,72,89,1.59,ID,1709350673
169,souillac,-20.5167,57.5167,26.21,65,75,5.66,MU,1709350673
170,lompoc,34.6391,-120.4579,13.94,90,100,5.66,US,1709350469
171,ilulissat,69.2167,-51.1,1.01,86,100,1.03,GL,1709350496
172,mata-utu,-13.2816,-176.1745,29.19,78,18,6.87,WF,1709350673
173,port alfred,-33.5906,26.891,18.99,90,92,0.89,ZA,1709350673
174,okhotsk,59.3833,143.3,-7.97,77,100,4.06,RU,1709350674
175,valle de la pascua,9.2155,-66.0073,24.37,73,81,5.27,VE,1709350674
176,merizo village,13.2658,144.6691,29.99,77,98,5.34,GU,1709350674
177,gaigeturi,33.4644,126.3183,5.03,48,75,3.09,KR,1709350674
178,pionerskiy,54.9508,20.2275,6.75,86,100,7.32,RU,1709350674
179,east london,-33.0153,27.9116,18.52,94,0,3.6,ZA,1709350674
180,lihue,21.9789,-159.3672,26.58,72,20,6.17,US,1709350484
181,hailar,49.2,119.7,-19.18,91,100,1.98,CN,1709350561
182,katsuura,35.1333,140.3,7.58,51,100,4.34,JP,1709350675
183,broken hill,-31.95,141.4333,24.48,35,100,4.54,AU,1709350675
184,carnarvon,-24.8667,113.6333,26.13,72,35,5.03,AU,1709350675
185,yarmouth,41.7057,-70.2286,3.34,81,0,6.17,US,1709350675
186,betafo,-19.8333,46.85,18.12,94,100,2.68,MG,1709350675
187,san antonio de pale,-1.4014,5.6325,28.07,75,99,1.62,GQ,1709350676
188,la passe,45.5549,-0.8967,9.13,83,100,7.28,FR,1709350676
189,northam,51.0333,-4.2167,4.23,94,91,3.68,GB,1709350676
190,zhangye,38.9342,100.4517,3.52,14,31,1.98,CN,1709350676
191,khilok,51.3674,110.4676,-8.51,73,97,4.89,RU,1709350676
192,ribeira grande,38.5167,-28.7,10.99,82,0,4.02,PT,1709350493
193,santiago de cao,-7.9589,-79.2392,23.07,78,75,3.6,PE,1709350676
194,vozhega,60.4725,40.2213,-2.02,89,99,2.46,RU,1709350677
195,auki,-8.7676,160.7034,30.52,66,100,1.3,SB,1709350677
196,maturin,9.75,-63.1767,24.91,78,100,2.57,VE,1709350677
197,sitka,57.0531,-135.33,-1.06,47,0,4.63,US,1709350677
198,crane,31.3974,-102.3501,17.69,26,0,3.94,US,1709350677
